j=0 jn=0 r={0,0,0} rn={0,0,0} sj={0,0,0} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,6} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,6} rparity={}parity=1
j=0 jn=0 r={0,0,8} rn={0,0,2} sj={0,0,8} rparity={}parity=1
j=0 jn=0 r={0,4,4} rn={0,1,1} sj={0,4,8} rparity={}parity=1
j=0 jn=0 r={0,4,8} rn={0,1,2} sj={0,4,8} rparity={}parity=1
j=0 jn=0 r={0,4,12} rn={0,1,3} sj={0,4,8} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,0,8} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,2,8} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,4,8} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,4,8} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,4,8} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,6,8} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,6,8} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,8} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,8,8} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,8} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,8} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,8} rparity={}parity=1
j=0 jn=0 r={0,4,8} rn={0,1,2} sj={0,4,10} rparity={}parity=1
j=0 jn=0 r={0,4,12} rn={0,1,3} sj={0,4,10} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,2,10} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,2,10} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,4,10} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,4,10} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,6,10} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,6,10} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,10} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,10} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,8,10} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,10} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,10} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,10} rparity={}parity=1
j=0 jn=0 r={0,0,12} rn={0,0,3} sj={0,0,12} rparity={}parity=1
j=0 jn=0 r={0,4,8} rn={0,1,2} sj={0,4,12} rparity={}parity=1
j=0 jn=0 r={0,4,12} rn={0,1,3} sj={0,4,12} rparity={}parity=1
j=0 jn=0 r={0,4,16} rn={0,1,6} sj={0,4,12} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,0,12} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,2,12} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,4,12} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,4,12} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,4,12} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,6,12} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,12} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,12} rparity={}parity=1
j=0 jn=0 r={4,4,4} rn={1,1,1} sj={4,8,12} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,12} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,12} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,12} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,12} rparity={}parity=1
j=0 jn=0 r={0,4,12} rn={0,1,3} sj={0,4,14} rparity={}parity=1
j=0 jn=0 r={0,4,16} rn={0,1,6} sj={0,4,14} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,2,14} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,2,14} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,4,14} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,4,14} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,6,14} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,14} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,14} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,14} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,14} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,14} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,14} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,14} rparity={}parity=1
j=0 jn=0 r={0,0,16} rn={0,0,6} sj={0,0,16} rparity={}parity=1
j=0 jn=0 r={0,4,12} rn={0,1,3} sj={0,4,16} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,16} rparity={}parity=1
j=0 jn=0 r={0,4,16} rn={0,1,6} sj={0,4,16} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,0,16} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,2,16} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,4,16} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,16} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,4,16} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,16} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,16} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,16} rparity={}parity=1
j=0 jn=0 r={4,4,8} rn={1,1,2} sj={4,8,16} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,16} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,16} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,16} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,18} rparity={}parity=1
j=0 jn=0 r={0,4,16} rn={0,1,6} sj={0,4,18} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,2,18} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,2,18} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,18} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,4,18} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,6,18} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,18} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,18} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,18} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,18} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,18} rparity={}parity=1
j=0 jn=0 r={0,0,20} rn={0,0,5} sj={0,0,20} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,20} rparity={}parity=1
j=0 jn=0 r={0,4,16} rn={0,1,6} sj={0,4,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,0,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,2,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,20} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,4,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,20} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,20} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,2,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,22} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,22} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,22} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,24} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,26} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,26} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,28} rparity={}parity=1
overlapm
      24.555            0            0            0            0            0     -5.21214      5.21214     -5.21214            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0      1.76761    -0.883807      2.16488      2.16488     -1.76761     -4.07036      2.87818      -3.0769     -1.88421      2.66468     -2.91901      1.08785       -1.946      2.66468      -3.0769    -0.486501      1.08785     -1.88421      2.87818     -4.07036            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0      4.46552            0            0            0            0    -0.728124     0.364062     0.728124      1.02565     -1.45049      1.58893     -1.45049      1.02565            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0     -2.16736     0.722454            0            0    -0.722454      1.27649    -0.225653    -0.884233     0.328041     0.858702     -1.42361    -0.653472   -0.0510389     0.858702    -0.884233     0.660768    -0.653472     0.328041    -0.225653      1.27649    -0.819293      0.89749     -1.19665    -0.732798      1.15865     -1.31379     0.473019    -0.875861      1.15865     -1.19665    -0.218965     0.473019    -0.732798      0.89749    -0.819293            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0      3.60178            0            0            0      1.57283      1.04855     0.262138     0.155061    0.0365481    -0.133455    0.0365481     0.155061     -0.60866     0.962375     -1.09123     0.962375     -0.60866            0            0            0            0            0            0            0            0            0            0     -1.54367   -0.0857596     0.735235     0.735235     0.686077    -0.104457    -0.110793     -1.12017      1.00326   -0.0697977     0.189644     0.296597     0.065221   -0.0697977     -1.12017     -1.39164     0.296597      1.00326    -0.110793    -0.104457      1.54879    -0.706921    -0.123325     0.100694     0.627184     -1.00839    0.0285548    -0.461643     0.627184    -0.123325    0.0425518    0.0285548     0.100694    -0.706921      1.54879            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0            0      3.60139            0            0            0            0            0    -0.281162    -0.795247     -1.08894    -0.795247    -0.281162       -1.591    -0.251558      1.33112    -0.251558       -1.591            0            0            0            0            0            0            0            0            0            0      -1.3061    -0.870732    -0.355475    -0.355475    -0.217683      0.23064     0.693119     0.902394     0.633354    -0.103005     -1.00572     0.144439    -0.461976    -0.103005     0.902394    0.0408832     0.144439     0.633354     0.693119      0.23064     0.712807      0.39042     0.496328    -0.989674   -0.0855693    -0.706913    -0.201938       1.1597   -0.0855693     0.496328     0.149005    -0.201938    -0.989674      0.39042     0.712807            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0            0            0      12.6322            0            0            0            0            0            0            0            0            0            0            0            0            0            0   -0.0733619  -0.00705925    0.0604518  -0.00705925   -0.0733619  -0.00832185    -0.019893   -0.0258418    -0.019893  -0.00832185            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0  0.000353665  0.000107177  0.000104094 -0.000373886 -2.61867e-05     -3.02323 -4.50742e-05      3.02345 -2.61867e-05  0.000104094     -3.02298 -4.50742e-05 -0.000373886  0.000107177  0.000353665  0.000107966   0.00017423  0.000144118   0.00011347 -5.27419e-05 -0.000208804  2.76837e-05 -8.70016e-05 -5.27419e-05  0.000144118  1.74003e-05  2.76837e-05   0.00011347   0.00017423  0.000107966
           0            0            0            0            0      12.6322            0            0            0            0            0            0            0            0            0            0            0            0            0   -0.0127765    0.0221296   -0.0258418    0.0221296   -0.0127765   -0.0278737  -0.00333154    0.0230816  -0.00333154   -0.0278737            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0  0.000265927 -0.000174607  2.10728e-05  5.16177e-05  0.000111756 -0.000208804  -9.1248e-06 -8.70016e-05  0.000111756  2.10728e-05  1.74003e-05  -9.1248e-06  5.16177e-05 -0.000174607  0.000265927 -7.25242e-05 -2.80885e-05  2.91753e-05  3.54615e-05  9.52152e-06     -3.02335  5.60428e-06      3.02328  9.52152e-06  2.91753e-05     -3.02333  5.60428e-06  3.54615e-05 -2.80885e-05 -7.25242e-05
    -5.21214    -0.728124      1.57283            0            0            0      4.96789    -0.987491     0.923698    -0.438069     0.421813    -0.389879     0.421813    -0.438069    -0.167847     0.265389    -0.300923     0.265389    -0.167847            0            0            0            0            0            0            0            0            0            0     -1.76614     0.240566    -0.273252    -0.273252       1.2501     0.542313    -0.839995     0.856011      1.36273     -1.94104      3.04637     0.180291     0.731274     -1.94104     0.856011     -1.01552     0.180291      1.36273    -0.839995     0.542313      1.29285    -0.858531     0.581592     0.401817    -0.264865     0.160307    -0.167086     0.161453    -0.264865     0.581592    0.0812994    -0.167086     0.401817    -0.858531      1.29285            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0  3.70592e-06 -4.78433e-06  7.06692e-06  4.32759e-06 -7.24144e-06  8.36169e-06  -2.9563e-06  5.57446e-06 -7.24144e-06  7.06692e-06  1.39361e-06  -2.9563e-06  4.32759e-06 -4.78433e-06  3.70592e-06
     5.21214     0.364062      1.04855            0            0            0    -0.987491      2.95643    -0.944963     0.079232    -0.243858     0.315263    -0.243858     0.079232    -0.111898     0.176926    -0.200615     0.176926    -0.111898            0            0            0            0            0            0            0            0            0            0    -0.161374    -0.368727      1.21712      1.21712     -0.35127    -0.972726      1.13027      -2.2983    -0.145753      1.34494     -1.27914     0.386204    -0.993496      1.34494      -2.2983    -0.503001     0.386204    -0.145753      1.13027    -0.972726     0.371817   -0.0354961    -0.328082    -0.170464     0.516504    -0.679008     0.171558    -0.416284     0.516504    -0.328082   -0.0767803     0.171558    -0.170464   -0.0354961     0.371817            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0  2.47062e-06 -3.18955e-06  4.71128e-06  2.88506e-06 -4.82762e-06  5.57446e-06 -1.97087e-06  3.71631e-06 -4.82762e-06  4.71128e-06  9.29077e-07 -1.97087e-06  2.88506e-06 -3.18955e-06  2.47062e-06
    -5.21214     0.728124     0.262138            0            0            0     0.923698    -0.944963      2.98832     0.298267    -0.454765     0.510202    -0.454765     0.298267   -0.0279744    0.0442315   -0.0501538    0.0442315   -0.0279744            0            0            0            0            0            0            0            0            0            0    -0.992075     0.367877    -0.745187    -0.745187     0.737454      2.86978     -1.35853     0.383329      1.07714    -0.377567     0.147739    -0.803364     0.607574    -0.377567     0.383329     0.496436    -0.803364      1.07714     -1.35853      2.86978    -0.274607     0.393769    -0.618878    -0.371373     0.648936    -0.759161     0.255101    -0.497011     0.648936    -0.618878     -0.11743     0.255101    -0.371373     0.393769    -0.274607            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0  6.17654e-07 -7.97388e-07  1.17782e-06  7.21264e-07 -1.20691e-06  1.39361e-06 -4.92717e-07  9.29077e-07 -1.20691e-06  1.17782e-06  2.32269e-07 -4.92717e-07  7.21264e-07 -7.97388e-07  6.17654e-07
           0      1.02565     0.155061    -0.281162            0            0    -0.438069     0.079232     0.298267      1.36433    -0.426897     0.571459    -0.601303     0.607474     0.106511      0.17211    -0.395114     0.360634    -0.131956            0            0            0            0            0            0            0            0            0            0    -0.449313     0.230897     0.411084     0.094201     0.119088     0.695885    -0.171745    -0.515078    0.0688531     0.444324    -0.617413    -0.350005 -0.000332812     0.497757    -0.669514     0.318776    -0.344855     0.136712    -0.204038      0.70677    -0.836359     0.611612    -0.675412    -0.412759     0.584842    -0.552425     0.360034    -0.561422     0.570646    -0.647786    -0.164269     0.232634    -0.207453     0.352984    -0.386566            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0     -1.45049    0.0365481    -0.795247            0            0     0.421813    -0.243858    -0.454765    -0.426897      1.80022    -0.788623     0.920039    -0.601303      0.53272   -0.0124792    -0.400265     0.254134     0.195477            0            0            0            0            0            0            0            0            0            0     0.979613     0.302267     0.113448     0.337518     0.288295      -1.0491   0.00307555     0.379322    -0.418543    -0.619014      1.41329     0.346539     0.196999    -0.623979     0.385998    -0.507195     0.465354    -0.434863   -0.0677943     -1.10499     0.396386    -0.875773      1.00088     0.836518    -0.967415      1.18573    -0.251532     0.349392    -0.751395     0.552278     0.098599    -0.335317     0.828226    -0.692894     0.364713            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0      1.58893    -0.133455     -1.08894            0            0    -0.389879     0.315263     0.510202     0.571459    -0.788623      2.13363    -0.788623     0.571459     0.681174    -0.123285     -0.22069    -0.123285     0.681174            0            0            0            0            0            0            0            0            0            0     0.804832     0.775025    0.0855143    0.0855143    -0.148641     0.996457    -0.500334     -1.07642   -0.0318525     0.778656    -0.759815    -0.592788     0.116964     0.778656     -1.07642     0.487919    -0.592788   -0.0318525    -0.500334     0.996457    -0.886594     0.542419     -1.19078    -0.200444      1.03787    -0.923683     0.450484     -1.17177      1.03787     -1.19078     -0.24153     0.450484    -0.200444     0.542419    -0.886594            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0     -1.45049    0.0365481    -0.795247            0            0     0.421813    -0.243858    -0.454765    -0.601303     0.920039    -0.788623      1.80022    -0.426897     0.195477     0.254134    -0.400265   -0.0124792      0.53272            0            0            0            0            0            0            0            0            0            0     0.979613     0.302267     0.337518     0.113448     0.288295     -1.10499   -0.0677943     0.385998    -0.434863    -0.623979      1.41329     0.465354     0.196999    -0.619014     0.379322    -0.507195     0.346539    -0.418543   0.00307555      -1.0491     0.364713    -0.692894     0.552278     0.828226    -0.751395      1.18573    -0.335317     0.349392    -0.967415      1.00088     0.098599    -0.251532     0.836518    -0.875773     0.396386            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0      1.02565     0.155061    -0.281162            0            0    -0.438069     0.079232     0.298267     0.607474    -0.601303     0.571459    -0.426897      1.36433    -0.131956     0.360634    -0.395114      0.17211     0.106511            0            0            0            0            0            0            0            0            0            0    -0.449313     0.230897     0.094201     0.411084     0.119088      0.70677    -0.204038    -0.669514     0.136712     0.497757    -0.617413    -0.344855 -0.000332812     0.444324    -0.515078     0.318776    -0.350005    0.0688531    -0.171745     0.695885    -0.386566     0.352984    -0.647786    -0.207453     0.570646    -0.552425     0.232634    -0.561422     0.584842    -0.675412    -0.164269     0.360034    -0.412759     0.611612    -0.836359            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0     -0.60866       -1.591            0            0    -0.167847    -0.111898   -0.0279744     0.106511      0.53272     0.681174     0.195477    -0.131956      1.75973    -0.329623    -0.297576   -0.0380463     0.920122            0            0            0            0            0            0            0            0            0            0       1.1638     0.519798   0.00312787   0.00312787   -0.0621017    -0.112878    -0.431563    -0.263202    -0.828595    0.0623809      0.57881    -0.386861     0.325141     0.102982    -0.331495     0.226175   -0.0846034    -0.623008    -0.427919    -0.124687     -1.34102    -0.259248    -0.144479     0.708514    -0.136423     0.685077     0.272795    -0.613863    -0.108618     -0.31423    -0.435575      0.17005     0.637146   -0.0695536    -0.851522            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0     0.962375    -0.251558            0            0     0.265389     0.176926    0.0442315      0.17211   -0.0124792    -0.123285     0.254134     0.360634    -0.329623      1.22992    -0.649625      0.52862   -0.0380463            0            0            0            0            0            0            0            0            0            0     -0.54477    0.0416994     0.347606     0.347606     0.314084    -0.100442    -0.192441    -0.758647     0.357472    -0.158793       0.2288     0.161416    -0.101137    0.0272348    -0.452786    -0.516649    0.0115098     0.349179   -0.0943501   -0.0673063     0.611142    -0.557189    -0.368619     0.176583     0.532457    -0.439167   -0.0879107    -0.248885     0.252962    -0.103233    0.0530486    -0.229532      0.19936    -0.317242     0.552717            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0     -1.09123      1.33112            0            0    -0.300923    -0.200615   -0.0501538    -0.395114    -0.400265     -0.22069    -0.400265    -0.395114    -0.297576    -0.649625      1.91381    -0.649625    -0.297576            0            0            0            0            0            0            0            0            0            0     0.128112    -0.373682    -0.527401    -0.527401    -0.437738     0.193226     0.447786     0.996821    -0.159605     -0.11734     -0.92101   -0.0581742    -0.194198     -0.11734     0.996821     0.607735   -0.0581742    -0.159605     0.447786     0.193226    -0.316413     0.583336     0.374531    -0.855693    -0.423008     0.615496   -0.0516959     0.768674    -0.423008     0.374531    0.0251708   -0.0516959    -0.855693     0.583336    -0.316413            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
           0            0     0.962375    -0.251558            0            0     0.265389     0.176926    0.0442315     0.360634     0.254134    -0.123285   -0.0124792      0.17211   -0.0380463      0.52862    -0.649625      1.22992    -0.329623            0            0            0            0            0            0            0            0            0            0     -0.54477    0.0416994     0.347606     0.347606     0.314084   -0.0673063   -0.0943501    -0.452786     0.349179    0.0272348       0.2288    0.0115098    -0.101137    -0.158793    -0.758647    -0.516649     0.161416     0.357472    -0.192441    -0.100442     0.552717    -0.317242    -0.103233      0.19936     0.252962    -0.439167    -0.229532    -0.248885     0.532457    -0.368619    0.0530486   -0.0879107     0.176583    -0.557189     0.611142            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
